,Category,Name,places_link
47,Tours,18. Quad Biking in Riyadh Desert1,https://www.tripadvisor.com/AttractionProductReview-g293995-d23285821-Quad_Biking_in_Riyadh_Desert-Riyadh_Riyadh_Province.html
48,Tours,19. Dining in Riyadh at The Globe Restaurant with Pick Up1,https://www.tripadvisor.com/AttractionProductReview-g293995-d23851183-Dining_in_Riyadh_at_The_Globe_Restaurant_with_Pick_Up-Riyadh_Riyadh_Province.html
49,Tours,20. Scheduled Sightseeing Tour in Riyadh,https://www.tripadvisor.com/AttractionProductReview-g293995-d26692544-Scheduled_Sightseeing_Tour_in_Riyadh-Riyadh_Riyadh_Province.html
50,Tours,21. Full-Day Ushayger Tour with Lunch from Riyadh1,https://www.tripadvisor.com/AttractionProductReview-g293995-d23851161-Full_Day_Ushayger_Tour_with_Lunch_from_Riyadh-Riyadh_Riyadh_Province.html
51,Tours,22. Saudi Arabia: The Complete2,https://www.tripadvisor.com/AttractionProductReview-g293995-d15302291-Saudi_Arabia_The_Complete-Riyadh_Riyadh_Province.html
52,Tours,23. Dining in Riyadh at Ai Najd Village Restaurant2,https://www.tripadvisor.com/AttractionProductReview-g293995-d23851181-Dining_in_Riyadh_at_Ai_Najd_Village_Restaurant-Riyadh_Riyadh_Province.html
53,Tours,24. Red Sand Dunes Tour7,https://www.tripadvisor.com/AttractionProductReview-g293995-d23321881-Red_Sand_Dunes_Tour-Riyadh_Riyadh_Province.html
54,Tours,25. Riyadh’s History and Al Masmak - Self-Guided Walking Tours5,https://www.tripadvisor.com/AttractionProductReview-g293995-d23796764-Riyadh_s_History_and_Al_Masmak_Self_Guided_Walking_Tours-Riyadh_Riyadh_Province.html
55,Tours,26. Riyadh King Khalid International Airport Plaza Premium Lounge12,https://www.tripadvisor.com/AttractionProductReview-g293995-d12943296-Riyadh_King_Khalid_International_Airport_Plaza_Premium_Lounge-Riyadh_Riyadh_Provin.html
56,Tours,27. Heet Cave Tour 1,https://www.tripadvisor.com/AttractionProductReview-g293995-d15040434-Heet_Cave_Tour-Riyadh_Riyadh_Province.html
57,Tours,28. Full Day Al-Qara Hill & Jawatha AlAhsaa Tour1,https://www.tripadvisor.com/AttractionProductReview-g293995-d19621067-Full_Day_Al_Qara_Hill_Jawatha_AlAhsaa_Tour-Riyadh_Riyadh_Province.html
58,Tours,29. Riyadh Private Airport Transfer Service | English Speaking Driver,https://www.tripadvisor.com/AttractionProductReview-g293995-d19843442-Riyadh_Private_Airport_Transfer_Service_English_Speaking_Driver-Riyadh_Riyadh_Prov.html
59,Tours,30. Riyadh: Discover Al Qara Hill & Jawatha Al Ahsaa Tour ,https://www.tripadvisor.com/AttractionProductReview-g293995-d24904937-Riyadh_Discover_Al_Qara_Hill_Jawatha_Al_Ahsaa_Tour-Riyadh_Riyadh_Province.html
60,Day Trips,1. Edge Of the World off road trip18,https://www.tripadvisor.com/AttractionProductReview-g293995-d24933362-Edge_Of_the_World_off_road_trip-Riyadh_Riyadh_Province.html
61,Day Trips,2. Private Edge of the World Tour from Riyadh 6,https://www.tripadvisor.com/AttractionProductReview-g293995-d25342249-Private_Edge_of_the_World_Tour_from_Riyadh-Riyadh_Riyadh_Province.html
62,Day Trips,3. Edge Of The World Tour (Private Tour)51,https://www.tripadvisor.com/AttractionProductReview-g293995-d19150720-Edge_Of_The_World_Tour_Private_Tour-Riyadh_Riyadh_Province.html
63,Day Trips,4. Riyadh City Tour3,https://www.tripadvisor.com/AttractionProductReview-g293995-d19219205-Riyadh_City_Tour-Riyadh_Riyadh_Province.html
64,Day Trips,5. Red Sand Dunes with Dinner4,https://www.tripadvisor.com/AttractionProductReview-g293995-d22880345-Red_Sand_Dunes_with_Dinner-Riyadh_Riyadh_Province.html
65,Day Trips,6. Full-Day Ushayger Tour with Lunch from Riyadh1,https://www.tripadvisor.com/AttractionProductReview-g293995-d23851161-Full_Day_Ushayger_Tour_with_Lunch_from_Riyadh-Riyadh_Riyadh_Province.html
66,Day Trips,7. Saudi Arabia: The Complete2,https://www.tripadvisor.com/AttractionProductReview-g293995-d15302291-Saudi_Arabia_The_Complete-Riyadh_Riyadh_Province.html
67,Day Trips,8. Edge of the World and Huraymila National Park Guided Tour,https://www.tripadvisor.com/AttractionProductReview-g293995-d26812123-Edge_of_the_World_and_Huraymila_National_Park_Guided_Tour-Riyadh_Riyadh_Province.html
68,Day Trips,9. Full Day Al-Qara Hill & Jawatha AlAhsaa Tour1,https://www.tripadvisor.com/AttractionProductReview-g293995-d19621067-Full_Day_Al_Qara_Hill_Jawatha_AlAhsaa_Tour-Riyadh_Riyadh_Province.html
69,Day Trips,10. Riyadh: Discover Al Qara Hill & Jawatha Al Ahsaa Tour ,https://www.tripadvisor.com/AttractionProductReview-g293995-d24904937-Riyadh_Discover_Al_Qara_Hill_Jawatha_Al_Ahsaa_Tour-Riyadh_Riyadh_Province.html
70,Day Trips,11. Full-Day Guided Riyadh City Tour with lunch and Pick up,https://www.tripadvisor.com/AttractionProductReview-g293995-d25128341-Full_Day_Guided_Riyadh_City_Tour_with_lunch_and_Pick_up-Riyadh_Riyadh_Province.html
71,Day Trips,12. Red sand Riyadh Tour,https://www.tripadvisor.com/AttractionProductReview-g293995-d14163510-Red_sand_Riyadh_Tour-Riyadh_Riyadh_Province.html
72,Day Trips,13. Scheduled Sightseeing Tour in Riyadh,https://www.tripadvisor.com/AttractionProductReview-g293995-d26692544-Scheduled_Sightseeing_Tour_in_Riyadh-Riyadh_Riyadh_Province.html
73,Day Trips,14. Edge Of The World Tour,https://www.tripadvisor.com/AttractionProductReview-g293995-d25770893-Edge_Of_The_World_Tour-Riyadh_Riyadh_Province.html
74,Day Trips,15. Full-Day Ancient Mysteries of Central Arabia Tour with Lunch1,https://www.tripadvisor.com/AttractionProductReview-g293995-d23851168-Full_Day_Ancient_Mysteries_of_Central_Arabia_Tour_with_Lunch-Riyadh_Riyadh_Provinc.html
75,Outdoor Activities,1. Edge Of The World Tour including Dinner and Hike from Riyadh153,https://www.tripadvisor.com/AttractionProductReview-g293995-d23257403-Edge_Of_The_World-Riyadh_Riyadh_Province.html
76,Outdoor Activities,2. Edge of the world160,https://www.tripadvisor.com/AttractionProductReview-g293995-d19867360-Edge_of_the_world-Riyadh_Riyadh_Province.html
77,Outdoor Activities,3. Edge Of the World off road trip18,https://www.tripadvisor.com/AttractionProductReview-g293995-d24933362-Edge_Of_the_World_off_road_trip-Riyadh_Riyadh_Province.html
78,Outdoor Activities,4. Private Edge of the World Tour from Riyadh 6,https://www.tripadvisor.com/AttractionProductReview-g293995-d25342249-Private_Edge_of_the_World_Tour_from_Riyadh-Riyadh_Riyadh_Province.html
79,Outdoor Activities,5. Quad Biking and Camel Riding in Riyadh Desert17,https://www.tripadvisor.com/AttractionProductReview-g293995-d23237002-Quad_Biking_and_Camel_Riding_in_Riyadh_Desert-Riyadh_Riyadh_Province.html
80,Outdoor Activities,6. Edge Of The World Tour (Private Tour)51,https://www.tripadvisor.com/AttractionProductReview-g293995-d19150720-Edge_Of_The_World_Tour_Private_Tour-Riyadh_Riyadh_Province.html
81,Outdoor Activities,7. Edge Of The World Trip3,https://www.tripadvisor.com/AttractionProductReview-g293995-d24933621-Edge_Of_The_World_Trip-Riyadh_Riyadh_Province.html
82,Outdoor Activities,8. Riyadh City and Edge of The World (Private Tour)1,https://www.tripadvisor.com/AttractionProductReview-g293995-d26672375-Riyadh_City_and_Edge_of_The_World_Private_Tour-Riyadh_Riyadh_Province.html
83,Outdoor Activities,9. The Edge of The World Tour3,https://www.tripadvisor.com/AttractionProductReview-g293995-d19953588-The_Edge_of_The_World_Tour-Riyadh_Riyadh_Province.html
84,Outdoor Activities,10. The Second Edge6,https://www.tripadvisor.com/AttractionProductReview-g293995-d23779274-The_Second_Edge-Riyadh_Riyadh_Province.html
85,Outdoor Activities,11. Red Sand Dunes with Dinner4,https://www.tripadvisor.com/AttractionProductReview-g293995-d22880345-Red_Sand_Dunes_with_Dinner-Riyadh_Riyadh_Province.html
86,Outdoor Activities,12. Edge of the World Tour3,https://www.tripadvisor.com/AttractionProductReview-g293995-d19923732-Edge_of_the_World_Tour-Riyadh_Riyadh_Province.html
87,Outdoor Activities,13. Second Edge Of The World Tour1,https://www.tripadvisor.com/AttractionProductReview-g293995-d19893723-Second_Edge_Of_The_World_Tour-Riyadh_Riyadh_Province.html
88,Outdoor Activities,14. Quad Biking in Riyadh Desert1,https://www.tripadvisor.com/AttractionProductReview-g293995-d23285821-Quad_Biking_in_Riyadh_Desert-Riyadh_Riyadh_Province.html
89,Outdoor Activities,15. Saudi Arabia: The Complete2,https://www.tripadvisor.com/AttractionProductReview-g293995-d15302291-Saudi_Arabia_The_Complete-Riyadh_Riyadh_Province.html
90,Outdoor Activities,16. Red Sand Dunes Tour7,https://www.tripadvisor.com/AttractionProductReview-g293995-d23321881-Red_Sand_Dunes_Tour-Riyadh_Riyadh_Province.html
91,Outdoor Activities,17. Private Desert Safari in Al Thumama Desert North Riyadh,https://www.tripadvisor.com/AttractionProductReview-g293995-d26731409-Private_Desert_Safari_in_Al_Thumama_Desert_North_Riyadh-Riyadh_Riyadh_Province.html
92,Outdoor Activities,18. Full-Day Guided Riyadh City Tour with lunch and Pick up,https://www.tripadvisor.com/AttractionProductReview-g293995-d25128341-Full_Day_Guided_Riyadh_City_Tour_with_lunch_and_Pick_up-Riyadh_Riyadh_Province.html
93,Outdoor Activities,19. Red sand Riyadh Tour,https://www.tripadvisor.com/AttractionProductReview-g293995-d14163510-Red_sand_Riyadh_Tour-Riyadh_Riyadh_Province.html
94,Outdoor Activities,20. 4X4 Dune Bashing with Sand Boarding in Pyramids of Saudi Arabia,https://www.tripadvisor.com/AttractionProductReview-g293995-d25771167-4X4_Dune_Bashing_with_Sand_Boarding_in_Pyramids_of_Saudi_Arabia-Riyadh_Riyadh_Prov.html
95,Outdoor Activities,21. Full-Day Tour in Riyadh with Lunch and Pick Up,https://www.tripadvisor.com/AttractionProductReview-g293995-d24150594-Full_Day_Tour_in_Riyadh_with_Lunch_and_Pick_Up-Riyadh_Riyadh_Province.html
96,Outdoor Activities,22. 4 Days Nile Cruise From Aswan To Luxor With Abu Simbel Temples & Balloon,https://www.tripadvisor.com/AttractionProductReview-g294204-d17645022-4_Days_Nile_Cruise_From_Aswan_To_Luxor_With_Abu_Simbel_Temples_Balloon-Aswan_Aswan.html
97,Outdoor Activities,23. Edge Of The World Tour,https://www.tripadvisor.com/AttractionProductReview-g293995-d25770893-Edge_Of_The_World_Tour-Riyadh_Riyadh_Province.html
98,Outdoor Activities,24. Edge of the World and Huraymila National Park Guided Tour,https://www.tripadvisor.com/AttractionProductReview-g293995-d26812123-Edge_of_the_World_and_Huraymila_National_Park_Guided_Tour-Riyadh_Riyadh_Province.html
99,Outdoor Activities,25. Stargazing in the Desert from Riyadh with Dinner,https://www.tripadvisor.com/AttractionProductReview-g293995-d23851182-Stargazing_in_the_Desert_from_Riyadh_with_Dinner-Riyadh_Riyadh_Province.html
100,Outdoor Activities,26. Half-Day 4x4 Desert Safari with Dinner From Riyadh,https://www.tripadvisor.com/AttractionProductReview-g293995-d23851163-Half_Day_4x4_Desert_Safari_with_Dinner_From_Riyadh-Riyadh_Riyadh_Province.html
101,Concerts & Shows,1. Edge Of The World Tour including Dinner and Hike from Riyadh153,https://www.tripadvisor.com/AttractionProductReview-g293995-d23257403-Edge_Of_The_World-Riyadh_Riyadh_Province.html
102,Concerts & Shows,2. Edge of the world160,https://www.tripadvisor.com/AttractionProductReview-g293995-d19867360-Edge_of_the_world-Riyadh_Riyadh_Province.html
103,Concerts & Shows,3. Edge Of the World off road trip18,https://www.tripadvisor.com/AttractionProductReview-g293995-d24933362-Edge_Of_the_World_off_road_trip-Riyadh_Riyadh_Province.html
104,Concerts & Shows,4. Private Edge of the World Tour from Riyadh 6,https://www.tripadvisor.com/AttractionProductReview-g293995-d25342249-Private_Edge_of_the_World_Tour_from_Riyadh-Riyadh_Riyadh_Province.html
105,Concerts & Shows,5. The Edge of The World Tour3,https://www.tripadvisor.com/AttractionProductReview-g293995-d19953588-The_Edge_of_The_World_Tour-Riyadh_Riyadh_Province.html
106,Concerts & Shows,6. The Second Edge6,https://www.tripadvisor.com/AttractionProductReview-g293995-d23779274-The_Second_Edge-Riyadh_Riyadh_Province.html
107,Concerts & Shows,7. Red Sand Dunes with Dinner4,https://www.tripadvisor.com/AttractionProductReview-g293995-d22880345-Red_Sand_Dunes_with_Dinner-Riyadh_Riyadh_Province.html
108,Concerts & Shows,8. Riyadh City and Edge of The World (Private Tour)1,https://www.tripadvisor.com/AttractionProductReview-g293995-d26672375-Riyadh_City_and_Edge_of_The_World_Private_Tour-Riyadh_Riyadh_Province.html
109,Concerts & Shows,9. Quad Biking in Riyadh Desert1,https://www.tripadvisor.com/AttractionProductReview-g293995-d23285821-Quad_Biking_in_Riyadh_Desert-Riyadh_Riyadh_Province.html
110,Concerts & Shows,10. Saudi Arabia: The Complete2,https://www.tripadvisor.com/AttractionProductReview-g293995-d15302291-Saudi_Arabia_The_Complete-Riyadh_Riyadh_Province.html
111,Concerts & Shows,11. Private Desert Safari in Al Thumama Desert North Riyadh,https://www.tripadvisor.com/AttractionProductReview-g293995-d26731409-Private_Desert_Safari_in_Al_Thumama_Desert_North_Riyadh-Riyadh_Riyadh_Province.html
112,Concerts & Shows,12. Full-Day Guided Riyadh City Tour with lunch and Pick up,https://www.tripadvisor.com/AttractionProductReview-g293995-d25128341-Full_Day_Guided_Riyadh_City_Tour_with_lunch_and_Pick_up-Riyadh_Riyadh_Province.html
113,Concerts & Shows,13. Full-Day Tour in Riyadh with Lunch and Pick Up,https://www.tripadvisor.com/AttractionProductReview-g293995-d24150594-Full_Day_Tour_in_Riyadh_with_Lunch_and_Pick_Up-Riyadh_Riyadh_Province.html
114,Concerts & Shows,14. Edge Of The World Tour,https://www.tripadvisor.com/AttractionProductReview-g293995-d25770893-Edge_Of_The_World_Tour-Riyadh_Riyadh_Province.html
115,Concerts & Shows,15. Edge of the World and Huraymila National Park Guided Tour,https://www.tripadvisor.com/AttractionProductReview-g293995-d26812123-Edge_of_the_World_and_Huraymila_National_Park_Guided_Tour-Riyadh_Riyadh_Province.html
116,Concerts & Shows,16. Half-Day 4x4 Desert Safari with Dinner From Riyadh,https://www.tripadvisor.com/AttractionProductReview-g293995-d23851163-Half_Day_4x4_Desert_Safari_with_Dinner_From_Riyadh-Riyadh_Riyadh_Province.html
117,Events,1. Janadriyah Festival40,https://www.tripadvisor.com/Attraction_Review-g293995-d10020476-Reviews-Janadriyah_Festival-Riyadh_Riyadh_Province.html
118,Events,2. Riyadh International Book Fair13,https://www.tripadvisor.com/Attraction_Review-g293995-d10020474-Reviews-Riyadh_International_Book_Fair-Riyadh_Riyadh_Province.html
119,Events,3. Riyadh Motor Show4,https://www.tripadvisor.com/Attraction_Review-g293995-d10020479-Reviews-Riyadh_Motor_Show-Riyadh_Riyadh_Province.html
120,Events,4. Colors of Saudi4,https://www.tripadvisor.com/Attraction_Review-g293995-d10020480-Reviews-Colors_of_Saudi-Riyadh_Riyadh_Province.html
121,Events,5. Dirab Park,https://www.tripadvisor.com/Attraction_Review-g293995-d17329203-Reviews-Dirab_Park-Riyadh_Riyadh_Province.html
122,Shopping,"1. Kingdom Centre Tower1,896",https://www.tripadvisor.com/Attraction_Review-g293995-d675824-Reviews-Kingdom_Centre_Tower-Riyadh_Riyadh_Province.html
123,Shopping,2. Al Nakheel Mall289,https://www.tripadvisor.com/Attraction_Review-g293995-d8471270-Reviews-Al_Nakheel_Mall-Riyadh_Riyadh_Province.html
124,Shopping,3. Riyadh Gallery Mall251,https://www.tripadvisor.com/Attraction_Review-g293995-d3140287-Reviews-Riyadh_Gallery_Mall-Riyadh_Riyadh_Province.html
125,Shopping,4. Panorama Mall122,https://www.tripadvisor.com/Attraction_Review-g293995-d2615272-Reviews-Panorama_Mall-Riyadh_Riyadh_Province.html
126,Shopping,5. Riyadh Park Mall58,https://www.tripadvisor.com/Attraction_Review-g293995-d16850027-Reviews-Riyadh_Park_Mall-Riyadh_Riyadh_Province.html
127,Shopping,6. Granada Center244,https://www.tripadvisor.com/Attraction_Review-g293995-d2524569-Reviews-Granada_Center-Riyadh_Riyadh_Province.html
128,Shopping,7. Hayat Mall91,https://www.tripadvisor.com/Attraction_Review-g293995-d2646188-Reviews-Hayat_Mall-Riyadh_Riyadh_Province.html
129,Shopping,8. Sahara Mall51,https://www.tripadvisor.com/Attraction_Review-g293995-d2646183-Reviews-Sahara_Mall-Riyadh_Riyadh_Province.html
130,Shopping,9. Riyadh Front10,https://www.tripadvisor.com/Attraction_Review-g293995-d19657871-Reviews-Riyadh_Front-Riyadh_Riyadh_Province.html
131,Shopping,10. Naila Art Gallery16,https://www.tripadvisor.com/Attraction_Review-g293995-d9461498-Reviews-Naila_Art_Gallery-Riyadh_Riyadh_Province.html
132,Shopping,11. Salam Mall17,https://www.tripadvisor.com/Attraction_Review-g293995-d3653760-Reviews-Salam_Mall-Riyadh_Riyadh_Province.html
133,Shopping,12. Al Hamra Mall17,https://www.tripadvisor.com/Attraction_Review-g293995-d12655208-Reviews-Al_Hamra_Mall-Riyadh_Riyadh_Province.html
134,Shopping,13. Khurais Mall20,https://www.tripadvisor.com/Attraction_Review-g293995-d3653759-Reviews-Khurais_Mall-Riyadh_Riyadh_Province.html
135,Shopping,14. Othaim Mall4,https://www.tripadvisor.com/Attraction_Review-g293995-d19095560-Reviews-Othaim_Mall-Riyadh_Riyadh_Province.html
136,Shopping,15. Sahara Plaza15,https://www.tripadvisor.com/Attraction_Review-g293995-d3653761-Reviews-Sahara_Plaza-Riyadh_Riyadh_Province.html
137,Shopping,16. Royal Mall4,https://www.tripadvisor.com/Attraction_Review-g293995-d19244522-Reviews-Royal_Mall-Riyadh_Riyadh_Province.html
138,Shopping,17. Haraj Ibn Qasim6,https://www.tripadvisor.com/Attraction_Review-g293995-d13944248-Reviews-Haraj_Ibn_Qasim-Riyadh_Riyadh_Province.html
139,Shopping,18. Park Avenue Mall3,https://www.tripadvisor.com/Attraction_Review-g293995-d24072768-Reviews-Park_Avenue_Mall-Riyadh_Riyadh_Province.html
140,Shopping,19. Riyadh Avenue Mall4,https://www.tripadvisor.com/Attraction_Review-g293995-d19195426-Reviews-Riyadh_Avenue_Mall-Riyadh_Riyadh_Province.html
141,Shopping,20. Thaghr Plaza2,https://www.tripadvisor.com/Attraction_Review-g293995-d20238145-Reviews-Thaghr_Plaza-Riyadh_Riyadh_Province.html
142,Shopping,21. Qasr Mall3,https://www.tripadvisor.com/Attraction_Review-g293995-d19977039-Reviews-Qasr_Mall-Riyadh_Riyadh_Province.html
143,Shopping,22. Huna - Riyadh Park1,https://www.tripadvisor.com/Attraction_Review-g293995-d23602134-Reviews-Huna_Riyadh_Park-Riyadh_Riyadh_Province.html
144,Shopping,23. Mode Mall1,https://www.tripadvisor.com/Attraction_Review-g293995-d25083333-Reviews-Mode_Mall-Riyadh_Riyadh_Province.html
145,Shopping,24. Alajlan Art Gallery,https://www.tripadvisor.com/Attraction_Review-g293995-d21198745-Reviews-Alajlan_Art_Gallery-Riyadh_Riyadh_Province.html
146,Shopping,25. Almaigliah1,https://www.tripadvisor.com/Attraction_Review-g293995-d25215767-Reviews-Almaigliah-Riyadh_Riyadh_Province.html
